RNA_sample,Lysate_sample,Fraction,Time,Temperature,Biorep,Strain,Treatment_group,Treatment_group_ID,Treatment,Treated,Experiment,Sequencing_date,Sample_search,FastQ_folder,UMI,gtf_file,star_index_folder,kallisto_index,sbatch_template,snakefile,kallisto_direction,R1,R2,R3,R1_path,R2_path,R3_path,sequencing_group,spike_group
JB107,L56,Total,10min,46C,BR2,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB107,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB107_S39_R1_001.fastq.gz,AD-JB-JB107_S39_R2_001.fastq.gz,AD-JB-JB107_S39_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB107_S39_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB107_S39_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB107_S39_R3_001.fastq.gz,B,pombe
JB108,L51,Free,10min,30C,BR1,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB108,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB108_S40_R1_001.fastq.gz,AD-JB-JB108_S40_R2_001.fastq.gz,AD-JB-JB108_S40_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB108_S40_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB108_S40_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB108_S40_R3_001.fastq.gz,B,pombe
JB109,L52,Free,10min,42C,BR1,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB109,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB109_S41_R1_001.fastq.gz,AD-JB-JB109_S41_R2_001.fastq.gz,AD-JB-JB109_S41_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB109_S41_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB109_S41_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB109_S41_R3_001.fastq.gz,B,pombe
JB110,L53,Free,10min,46C,BR1,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB110,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB110_S42_R1_001.fastq.gz,AD-JB-JB110_S42_R2_001.fastq.gz,AD-JB-JB110_S42_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB110_S42_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB110_S42_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB110_S42_R3_001.fastq.gz,B,pombe
JB111,L54,Free,10min,30C,BR2,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB111,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB111_S43_R1_001.fastq.gz,AD-JB-JB111_S43_R2_001.fastq.gz,AD-JB-JB111_S43_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB111_S43_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB111_S43_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB111_S43_R3_001.fastq.gz,B,pombe
JB112,L55,Free,10min,42C,BR2,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB112,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB112_S44_R1_001.fastq.gz,AD-JB-JB112_S44_R2_001.fastq.gz,AD-JB-JB112_S44_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB112_S44_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB112_S44_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB112_S44_R3_001.fastq.gz,B,pombe
JB113,L56,Free,10min,46C,BR2,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB113,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB113_S45_R1_001.fastq.gz,AD-JB-JB113_S45_R2_001.fastq.gz,AD-JB-JB113_S45_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB113_S45_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB113_S45_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB113_S45_R3_001.fastq.gz,B,pombe
JB114,L51,Mono,10min,30C,BR1,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB114,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB114_S46_R1_001.fastq.gz,AD-JB-JB114_S46_R2_001.fastq.gz,AD-JB-JB114_S46_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB114_S46_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB114_S46_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB114_S46_R3_001.fastq.gz,B,pombe
JB115,L52,Mono,10min,42C,BR1,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB115,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB115_S47_R1_001.fastq.gz,AD-JB-JB115_S47_R2_001.fastq.gz,AD-JB-JB115_S47_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB115_S47_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB115_S47_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB115_S47_R3_001.fastq.gz,B,pombe
JB116,L53,Mono,10min,46C,BR1,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB116,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB116_S48_R1_001.fastq.gz,AD-JB-JB116_S48_R2_001.fastq.gz,AD-JB-JB116_S48_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB116_S48_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB116_S48_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB116_S48_R3_001.fastq.gz,B,pombe
JB117,L54,Mono,10min,30C,BR2,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB117,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB117_S49_R1_001.fastq.gz,AD-JB-JB117_S49_R2_001.fastq.gz,AD-JB-JB117_S49_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB117_S49_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB117_S49_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB117_S49_R3_001.fastq.gz,B,pombe
JB118,L55,Mono,10min,42C,BR2,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB118,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB118_S50_R1_001.fastq.gz,AD-JB-JB118_S50_R2_001.fastq.gz,AD-JB-JB118_S50_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB118_S50_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB118_S50_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB118_S50_R3_001.fastq.gz,B,pombe
JB119,L56,Mono,10min,46C,BR2,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB119,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB119_S51_R1_001.fastq.gz,AD-JB-JB119_S51_R2_001.fastq.gz,AD-JB-JB119_S51_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB119_S51_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB119_S51_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB119_S51_R3_001.fastq.gz,B,pombe
JB120,L51,Poly,10min,30C,BR1,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB120,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB120_S52_R1_001.fastq.gz,AD-JB-JB120_S52_R2_001.fastq.gz,AD-JB-JB120_S52_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB120_S52_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB120_S52_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB120_S52_R3_001.fastq.gz,B,pombe
JB121,L52,Poly,10min,42C,BR1,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB121,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB121_S53_R1_001.fastq.gz,AD-JB-JB121_S53_R2_001.fastq.gz,AD-JB-JB121_S53_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB121_S53_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB121_S53_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB121_S53_R3_001.fastq.gz,B,pombe
JB122,L53,Poly,10min,46C,BR1,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB122,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB122_S54_R1_001.fastq.gz,AD-JB-JB122_S54_R2_001.fastq.gz,AD-JB-JB122_S54_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB122_S54_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB122_S54_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB122_S54_R3_001.fastq.gz,B,pombe
JB123,L54,Poly,10min,30C,BR2,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB123,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB123_S55_R1_001.fastq.gz,AD-JB-JB123_S55_R2_001.fastq.gz,AD-JB-JB123_S55_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB123_S55_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB123_S55_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB123_S55_R3_001.fastq.gz,B,pombe
JB124,L55,Poly,10min,42C,BR2,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB124,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB124_S56_R1_001.fastq.gz,AD-JB-JB124_S56_R2_001.fastq.gz,AD-JB-JB124_S56_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB124_S56_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB124_S56_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB124_S56_R3_001.fastq.gz,B,pombe
JB125,L56,Poly,10min,46C,BR2,BY4741,PolySeq_10min,tg_15,none,FALSE,PolySeq,220725,JB125,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714,TRUE,Scerevisiae_Spombe/saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled_geneid.gff3,Scerevisiae_Spombe/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_Schizosaccharomyces_pombe_all_chromosomes_relabelled,Scerevisiae_Spombe/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding_Spombe_cds.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-JB125_S57_R1_001.fastq.gz,AD-JB-JB125_S57_R2_001.fastq.gz,AD-JB-JB125_S57_R3_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB125_S57_R1_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB125_S57_R2_001.fastq.gz,220725_A00639_1256_AHGV3NDRX2-AD-JB-1S-0714/FastQ/AD-JB-JB125_S57_R3_001.fastq.gz,B,pombe
HG136,L57,Total,10min,30C,BR1,yHG038,eIF4E_deplete,tg_4,mock,FALSE,SedSeq,221019,HG136,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1s-221001-HG136_S1_R1_001.fastq.gz,AD-JB-1s-221001-HG136_S1_R2_001.fastq.gz,AD-JB-1s-221001-HG136_S1_R3_001.fastq.gz,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001/FastQ/AD-JB-1s-221001-HG136_S1_R1_001.fastq.gz,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001/FastQ/AD-JB-1s-221001-HG136_S1_R2_001.fastq.gz,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001/FastQ/AD-JB-1s-221001-HG136_S1_R3_001.fastq.gz,B,nanoluc
HG137,L58,Total,10min,42C,BR1,yHG038,eIF4E_deplete,tg_4,mock,FALSE,SedSeq,221019,HG137,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1s-221001-HG137_S2_R1_001.fastq.gz,AD-JB-1s-221001-HG137_S2_R2_001.fastq.gz,AD-JB-1s-221001-HG137_S2_R3_001.fastq.gz,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001/FastQ/AD-JB-1s-221001-HG137_S2_R1_001.fastq.gz,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001/FastQ/AD-JB-1s-221001-HG137_S2_R2_001.fastq.gz,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001/FastQ/AD-JB-1s-221001-HG137_S2_R3_001.fastq.gz,B,nanoluc
HG138,L59,Total,10min,46C,BR1,yHG038,eIF4E_deplete,tg_4,mock,FALSE,SedSeq,221019,HG138,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001,TRUE,Scerevisiae_spike/spike_saccharomyces_cerevisiae_R64-3-1_20210421_geneid.gff3,Scerevisiae_spike/STAR_spike_saccharomyces_cerevisiae_R64-3-1_20210421,Scerevisiae_spike/spike_Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_paired_umi.template,Snakefile_map_STAR_kallisto_umi.smk,--rf-stranded,AD-JB-1s-221001-HG138_S3_R1_001.fastq.gz,AD-JB-1s-221001-HG138_S3_R2_001.fastq.gz,AD-JB-1s-221001-HG138_S3_R3_001.fastq.gz,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001/FastQ/AD-JB-1s-221001-HG138_S3_R1_001.fastq.gz,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001/FastQ/AD-JB-1s-221001-HG138_S3_R2_001.fastq.gz,221019_A00639_1372_AHKWYWDRX2-AD-JB-1s-221001/FastQ/AD-JB-1s-221001-HG138_S3_R3_001.fastq.gz,B,nanoluc
