ORF	gene	length.protein	classification	label	Length5UTR	Length3UTR	Length5UTR.est	Length3UTR.est	LengthTxEst	unspliced.CDS.length	LengthTxUnsplicedEst	ENA	SGD_ID	ncrna_classification	RNAcentral_ID	length.ncRNA
YDR444W	NA	687	Uncharacterized	other	85	58	85	58	2207	2064	2207	NA	NA	NA	NA	NA
YDR445C	NA	135	Dubious	other	NA	NA	48	123	579	408	579	NA	NA	NA	NA	NA
YDR446W	ECM11	302	Verified	other	NA	NA	48	123	1080	909	1080	NA	NA	NA	NA	NA
YDR447C	RPS17B	136	Verified	RP	35	162	35	162	608	725	922	NA	NA	NA	NA	NA
YDR448W	ADA2	434	Verified	other	24	103	24	103	1432	1305	1432	NA	NA	NA	NA	NA
YDR449C	UTP6	440	Verified	RiBi	41	70	41	70	1434	1323	1434	NA	NA	NA	NA	NA
YDR450W	RPS18A	146	Verified	RP	27	115	27	115	583	876	1018	NA	NA	NA	NA	NA
YDR451C	YHP1	353	Verified	MSN2/4	53	160	53	160	1275	1062	1275	NA	NA	NA	NA	NA
YDR452W	PPN1	674	Verified	other	138	151	138	151	2314	2025	2314	NA	NA	NA	NA	NA
YDR453C	TSA2	196	Verified	MSN2/4	68	92	68	92	751	591	751	NA	NA	NA	NA	NA
YDR454C	GUK1	187	Verified	other	23	103	23	103	690	564	690	NA	NA	NA	NA	NA
YDR455C	NA	102	Dubious	other	NA	NA	48	123	480	309	480	NA	NA	NA	NA	NA
YDR456W	NHX1	633	Verified	other	50	106	50	106	2058	1902	2058	NA	NA	NA	NA	NA
YDR457W	TOM1	3268	Verified	other	NA	NA	48	123	9978	9807	9978	NA	NA	NA	NA	NA
YDR458C	HEH2	663	Verified	other	49	174	49	174	2215	1992	2215	NA	NA	NA	NA	NA
YDR459C	PFA5	374	Verified	other	96	108	96	108	1329	1125	1329	NA	NA	NA	NA	NA
YDR460W	TFB3	321	Verified	other	124	100	124	100	1190	966	1190	NA	NA	NA	NA	NA
YDR461C-A	CMI8	80	Uncharacterized	other	24	168	24	168	435	243	435	NA	NA	NA	NA	NA
YDR461W	MFA1	36	Verified	other	24	148	24	148	283	111	283	NA	NA	NA	NA	NA
YDR462W	MRPL28	147	Verified	other	42	128	42	128	614	444	614	NA	NA	NA	NA	NA
YDR463W	STP1	519	Verified	other	40	203	40	203	1803	1560	1803	NA	NA	NA	NA	NA
YDR464C-A	NA	62	Dubious	other	NA	NA	48	123	360	189	360	NA	NA	NA	NA	NA
YDR464W	SPP41	1435	Verified	other	NA	NA	48	123	4479	4308	4479	NA	NA	NA	NA	NA
YDR465C	RMT2	412	Verified	other	52	158	52	158	1449	1239	1449	NA	NA	NA	NA	NA
YDR466W	PKH3	898	Verified	other	95	178	95	178	2970	2697	2970	NA	NA	NA	NA	NA
YDR467C	NA	108	Dubious	other	891	789	891	789	2007	327	2007	NA	NA	NA	NA	NA
YDR468C	TLG1	224	Verified	other	100	114	100	114	889	675	889	NA	NA	NA	NA	NA
YDR469W	SDC1	175	Verified	other	24	104	24	104	656	528	656	NA	NA	NA	NA	NA
YDR470C	UGO1	502	Verified	other	91	175	91	175	1775	1509	1775	NA	NA	NA	NA	NA
YDR471W	RPL27B	136	Verified	RP	30	117	30	117	558	795	942	NA	NA	NA	NA	NA
YDR472W	TRS31	283	Verified	other	65	124	65	124	1041	852	1041	NA	NA	NA	NA	NA
YDR473C	PRP3	469	Verified	other	68	104	68	104	1582	1410	1582	NA	NA	NA	NA	NA
YDR475C	JIP4	876	Verified	other	98	111	98	111	2840	2631	2840	NA	NA	NA	NA	NA
YDR476C	NA	224	Uncharacterized	other	26	202	26	202	903	675	903	NA	NA	NA	NA	NA
YDR477W	SNF1	633	Verified	other	281	137	281	137	2320	1902	2320	NA	NA	NA	NA	NA
YDR478W	SNM1	198	Verified	other	29	212	29	212	838	597	838	NA	NA	NA	NA	NA
YDR479C	PEX29	554	Verified	MSN2/4	48	84	48	84	1797	1665	1797	NA	NA	NA	NA	NA
YDR480W	DIG2	323	Verified	other	NA	NA	48	123	1143	972	1143	NA	NA	NA	NA	NA
YDR481C	PHO8	566	Verified	other	47	26	47	26	1774	1701	1774	NA	NA	NA	NA	NA
YDR482C	CWC21	135	Verified	other	45	137	45	137	590	408	590	NA	NA	NA	NA	NA
YDR483W	KRE2	442	Verified	other	44	112	44	112	1485	1329	1485	NA	NA	NA	NA	NA
YDR484W	VPS52	641	Verified	other	42	105	42	105	2073	1926	2073	NA	NA	NA	NA	NA
YDR485C	VPS72	795	Verified	other	27	152	27	152	2567	2388	2567	NA	NA	NA	NA	NA
YDR486C	VPS60	229	Verified	other	31	144	31	144	865	690	865	NA	NA	NA	NA	NA
YDR487C	RIB3	208	Verified	other	53	111	53	111	791	627	791	NA	NA	NA	NA	NA
YDR488C	PAC11	533	Verified	other	NA	NA	48	123	1773	1602	1773	NA	NA	NA	NA	NA
YDR489W	SLD5	294	Verified	other	18	331	18	331	1234	885	1234	NA	NA	NA	NA	NA
YDR490C	PKH1	766	Verified	other	95	99	95	99	2495	2301	2495	NA	NA	NA	NA	NA
YDR491C	NA	163	Dubious	other	NA	NA	48	123	663	492	663	NA	NA	NA	NA	NA
YDR492W	IZH1	316	Verified	other	160	86	160	86	1197	951	1197	NA	NA	NA	NA	NA
YDR493W	MZM1	123	Verified	other	88	116	88	116	576	372	576	NA	NA	NA	NA	NA
YDR494W	RSM28	361	Verified	other	53	77	53	77	1216	1086	1216	NA	NA	NA	NA	NA
YDR495C	VPS3	1011	Verified	other	50	151	50	151	3237	3036	3237	NA	NA	NA	NA	NA
YDR496C	PUF6	656	Verified	RiBi	28	120	28	120	2119	1971	2119	NA	NA	NA	NA	NA
YDR497C	ITR1	584	Verified	other	75	103	75	103	1933	1755	1933	NA	NA	NA	NA	NA
YDR498C	SEC20	383	Verified	other	35	50	35	50	1237	1152	1237	NA	NA	NA	NA	NA
YDR499W	LCD1	747	Verified	other	30	101	30	101	2375	2244	2375	NA	NA	NA	NA	NA
YDR500C	RPL37B	88	Verified	RP	28	96	28	96	391	656	780	NA	NA	NA	NA	NA
YDR501W	PLM2	521	Verified	other	110	176	110	176	1852	1566	1852	NA	NA	NA	NA	NA
YDR502C	SAM2	384	Verified	other	48	293	48	293	1496	1155	1496	NA	NA	NA	NA	NA
YDR503C	LPP1	274	Verified	other	56	172	56	172	1053	825	1053	NA	NA	NA	NA	NA
YDR504C	SPG3	127	Verified	other	1529	226	1529	226	2139	384	2139	NA	NA	NA	NA	NA
YDR505C	PSP1	841	Verified	other	155	178	155	178	2859	2526	2859	NA	NA	NA	NA	NA
YDR506C	GMC1	608	Verified	other	35	424	35	424	2286	1827	2286	NA	NA	NA	NA	NA
YDR507C	GIN4	1142	Verified	other	38	181	38	181	3648	3429	3648	NA	NA	NA	NA	NA
YDR508C	GNP1	663	Verified	other	44	214	44	214	2250	1992	2250	NA	NA	NA	NA	NA
YDR509W	NA	115	Dubious	other	NA	NA	48	123	519	348	519	NA	NA	NA	NA	NA
YDR510C-A	NA	38	Dubious	other	NA	NA	48	123	288	117	288	NA	NA	NA	NA	NA
YDR510W	SMT3	101	Verified	other	55	149	55	149	510	306	510	NA	NA	NA	NA	NA
YDR511W	SDH7	133	Verified	other	25	83	25	83	510	402	510	NA	NA	NA	NA	NA
YDR512C	EMI1	187	Verified	other	NA	NA	48	123	735	564	735	NA	NA	NA	NA	NA
YDR513W	GRX2	143	Verified	other	22	95	22	95	549	432	549	NA	NA	NA	NA	NA
YDR514C	NA	483	Verified	other	61	91	61	91	1604	1452	1604	NA	NA	NA	NA	NA
YDR515W	SLF1	447	Verified	other	227	101	227	101	1672	1344	1672	NA	NA	NA	NA	NA
YDR516C	EMI2	500	Verified	other	62	106	62	106	1671	1503	1671	NA	NA	NA	NA	NA
YDR517W	GRH1	372	Verified	other	84	103	84	103	1306	1119	1306	NA	NA	NA	NA	NA
YDR518W	EUG1	517	Verified	other	36	50	36	50	1640	1554	1640	NA	NA	NA	NA	NA
YDR519W	FPR2	135	Verified	other	39	243	39	243	690	408	690	NA	NA	NA	NA	NA
YDR520C	URC2	772	Uncharacterized	other	82	126	82	126	2527	2319	2527	NA	NA	NA	NA	NA
YDR521W	NA	111	Dubious	other	NA	NA	48	123	507	336	507	NA	NA	NA	NA	NA
YDR522C	SPS2	502	Verified	other	NA	NA	48	123	1680	1509	1680	NA	NA	NA	NA	NA
YDR523C	SPS1	490	Verified	other	NA	NA	48	123	1644	1473	1644	NA	NA	NA	NA	NA
YDR524C	AGE1	482	Verified	other	72	277	72	277	1798	1449	1798	NA	NA	NA	NA	NA
YDR524C-A	NA	39	Dubious	other	386	344	386	344	850	120	850	NA	NA	NA	NA	NA
YDR524C-B	NA	66	Uncharacterized	other	39	294	39	294	534	201	534	NA	NA	NA	NA	NA
YDR524W-C	NA	29	Uncharacterized	other	NA	NA	48	123	261	90	261	NA	NA	NA	NA	NA
YDR525W	API2	109	Uncharacterized	other	NA	NA	48	123	501	330	501	NA	NA	NA	NA	NA
YDR525W-A	SNA2	79	Verified	MSN2/4	49	227	49	227	516	240	516	NA	NA	NA	NA	NA
YDR526C	NA	156	Dubious	other	NA	NA	48	123	642	471	642	NA	NA	NA	NA	NA
YDR527W	RBA50	439	Verified	other	51	121	51	121	1492	1320	1492	NA	NA	NA	NA	NA
YDR528W	HLR1	423	Verified	other	307	104	307	104	1683	1272	1683	NA	NA	NA	NA	NA
YDR529C	QCR7	127	Verified	other	31	212	31	212	627	384	627	NA	NA	NA	NA	NA
YDR530C	APA2	325	Verified	other	98	134	98	134	1210	978	1210	NA	NA	NA	NA	NA
YDR531W	CAB1	367	Verified	other	50	78	50	78	1232	1104	1232	NA	NA	NA	NA	NA
YDR532C	KRE28	385	Verified	other	23	62	23	62	1243	1158	1243	NA	NA	NA	NA	NA
YDR533C	HSP31	237	Verified	MSN2/4	28	96	28	96	838	714	838	NA	NA	NA	NA	NA
YDR534C	FIT1	528	Verified	other	120	228	120	228	1935	1587	1935	NA	NA	NA	NA	NA
YDR535C	NA	166	Dubious	other	265	1649	265	1649	2415	757	2671	NA	NA	NA	NA	NA
YDR536W	STL1	569	Verified	other	41	146	41	146	1897	1710	1897	NA	NA	NA	NA	NA
YDR537C	NA	201	Dubious	other	NA	NA	48	123	777	606	777	NA	NA	NA	NA	NA
YDR538W	PAD1	242	Verified	other	718	231	718	231	1678	729	1678	NA	NA	NA	NA	NA
YDR539W	FDC1	503	Verified	other	55	93	55	93	1660	1512	1660	NA	NA	NA	NA	NA
YDR540C	IRC4	179	Verified	other	122	302	122	302	964	540	964	NA	NA	NA	NA	NA
YDR541C	NA	344	Verified	other	183	188	183	188	1406	1035	1406	NA	NA	NA	NA	NA
YDR542W	PAU10	120	Verified	other	NA	NA	48	123	534	363	534	NA	NA	NA	NA	NA
YDR543C	NA	99	Dubious	other	NA	NA	48	123	471	300	471	NA	NA	NA	NA	NA
YDR544C	NA	142	Dubious	other	NA	NA	48	123	600	429	600	NA	NA	NA	NA	NA
YDR545C-A	NA	159	Dubious	other	NA	NA	48	123	651	480	651	NA	NA	NA	NA	NA
YDR545W	YRF1-1	1796	Verified	other	NA	NA	48	123	5562	5391	5562	NA	NA	NA	NA	NA
YEL001C	IRC22	225	Verified	other	39	102	39	102	819	678	819	NA	NA	NA	NA	NA
YEL002C	WBP1	430	Verified	other	59	108	59	108	1460	1293	1460	NA	NA	NA	NA	NA
YEL003W	GIM4	111	Verified	other	19	124	19	124	479	424	567	NA	NA	NA	NA	NA
YEL004W	YEA4	342	Verified	other	32	112	32	112	1173	1029	1173	NA	NA	NA	NA	NA
YEL005C	VAB2	282	Verified	other	25	78	25	78	952	849	952	NA	NA	NA	NA	NA
YEL006W	YEA6	335	Verified	other	33	367	33	367	1408	1008	1408	NA	NA	NA	NA	NA
YEL007W	MIT1	666	Verified	other	NA	NA	48	123	2172	2001	2172	NA	NA	NA	NA	NA
YEL008C-A	NA	30	Dubious	other	58	416	58	416	567	93	567	NA	NA	NA	NA	NA
YEL008W	NA	126	Uncharacterized	other	112	369	112	369	862	381	862	NA	NA	NA	NA	NA
YEL009C	GCN4	281	Verified	other	524	95	524	95	1465	846	1465	NA	NA	NA	NA	NA
YEL009C-A	NA	135	Uncharacterized	other	NA	NA	48	123	579	408	579	NA	NA	NA	NA	NA
YEL010W	NA	116	Dubious	other	NA	NA	48	123	522	351	522	NA	NA	NA	NA	NA
YEL011W	GLC3	704	Verified	MSN2/4	31	85	31	85	2231	2115	2231	NA	NA	NA	NA	NA
YEL012W	UBC8	218	Verified	other	95	102	95	102	854	780	977	NA	NA	NA	NA	NA
YEL013W	VAC8	578	Verified	other	249	444	249	444	2430	1737	2430	NA	NA	NA	NA	NA
YEL014C	NA	101	Uncharacterized	other	NA	NA	48	123	477	306	477	NA	NA	NA	NA	NA
YEL015W	EDC3	551	Verified	other	41	78	41	78	1775	1656	1775	NA	NA	NA	NA	NA
YEL016C	NPP2	493	Verified	other	183	92	183	92	1757	1482	1757	NA	NA	NA	NA	NA
YEL017C-A	PMP2	43	Verified	other	39	460	39	460	631	132	631	NA	NA	NA	NA	NA
YEL017W	GTT3	337	Verified	other	41	91	41	91	1146	1014	1146	NA	NA	NA	NA	NA
YEL018C-A	NA	177	Dubious	other	NA	NA	48	123	705	534	705	NA	NA	NA	NA	NA
YEL018W	EAF5	279	Verified	other	20	103	20	103	963	840	963	NA	NA	NA	NA	NA
YEL019C	MMS21	267	Verified	other	NA	NA	48	123	975	804	975	NA	NA	NA	NA	NA
YEL020C	PXP1	560	Verified	other	NA	NA	48	123	1854	1683	1854	NA	NA	NA	NA	NA
YEL020C-B	NA	65	Dubious	other	NA	NA	48	123	369	198	369	NA	NA	NA	NA	NA
YEL020W-A	TIM9	87	Verified	other	33	109	33	109	406	264	406	NA	NA	NA	NA	NA
YEL021W	URA3	267	Verified	other	33	67	33	67	904	804	904	NA	NA	NA	NA	NA
YEL022W	GEA2	1459	Verified	other	74	74	74	74	4528	4380	4528	NA	NA	NA	NA	NA
YEL023C	NA	682	Uncharacterized	other	564	122	564	122	2735	2049	2735	NA	NA	NA	NA	NA
YEL024W	RIP1	215	Verified	other	76	444	76	444	1168	648	1168	NA	NA	NA	NA	NA
YEL025C	NA	1188	Uncharacterized	other	NA	NA	48	123	3738	3567	3738	NA	NA	NA	NA	NA
YEL026W	SNU13	126	Verified	RiBi	98	82	98	82	561	381	561	NA	NA	NA	NA	NA
YEL027W	VMA3	160	Verified	other	63	253	63	253	799	483	799	NA	NA	NA	NA	NA
YEL028W	NA	153	Uncharacterized	other	600	534	600	534	1596	462	1596	NA	NA	NA	NA	NA
YEL029C	BUD16	312	Verified	other	76	117	76	117	1132	939	1132	NA	NA	NA	NA	NA
YEL030C-A	NA	104	Dubious	other	NA	NA	48	123	486	315	486	NA	NA	NA	NA	NA
YEL030W	ECM10	644	Verified	other	NA	NA	48	123	2106	1935	2106	NA	NA	NA	NA	NA
YEL031W	SPF1	1215	Verified	other	20	102	20	102	3770	3648	3770	NA	NA	NA	NA	NA
YEL032C-A	NA	53	Dubious	other	NA	NA	48	123	333	162	333	NA	NA	NA	NA	NA
YEL032W	MCM3	971	Verified	other	48	152	48	152	3116	2916	3116	NA	NA	NA	NA	NA
YEL033W	MTC7	139	Uncharacterized	other	NA	NA	48	123	591	420	591	NA	NA	NA	NA	NA
YEL034C-A	NA	200	Dubious	other	53	176	53	176	832	603	832	NA	NA	NA	NA	NA
YEL034W	HYP2	157	Verified	translation factors	53	203	53	203	730	474	730	NA	NA	NA	NA	NA
YEL035C	UTR5	166	Uncharacterized	other	NA	NA	48	123	672	501	672	NA	NA	NA	NA	NA
YEL036C	ANP1	500	Verified	other	145	84	145	84	1732	1503	1732	NA	NA	NA	NA	NA
YEL037C	RAD23	398	Verified	other	165	156	165	156	1518	1197	1518	NA	NA	NA	NA	NA
YEL038W	UTR4	227	Verified	other	19	60	19	60	763	684	763	NA	NA	NA	NA	NA
YEL039C	CYC7	113	Verified	other	156	108	156	108	606	342	606	NA	NA	NA	NA	NA
YEL040W	UTR2	467	Verified	other	16	138	16	138	1558	1404	1558	NA	NA	NA	NA	NA
YEL041W	YEF1	495	Verified	other	107	418	107	418	2013	1488	2013	NA	NA	NA	NA	NA
YEL042W	GDA1	518	Verified	other	144	144	144	144	1845	1557	1845	NA	NA	NA	NA	NA
YEL043W	GTA1	956	Verified	other	37	95	37	95	3003	2871	3003	NA	NA	NA	NA	NA
YEL044W	IES6	166	Verified	other	56	99	56	99	656	501	656	NA	NA	NA	NA	NA
YEL045C	NA	141	Dubious	other	NA	NA	48	123	597	426	597	NA	NA	NA	NA	NA
YEL046C	GLY1	387	Verified	other	102	576	102	576	1842	1164	1842	NA	NA	NA	NA	NA
YEL047C	FRD1	470	Verified	other	NA	NA	48	123	1584	1413	1584	NA	NA	NA	NA	NA
YEL048C	TCA17	152	Verified	other	21	599	21	599	1079	459	1079	NA	NA	NA	NA	NA
YEL049W	PAU2	120	Verified	other	186	142	186	142	691	363	691	NA	NA	NA	NA	NA
YEL050C	RML2	393	Verified	other	44	166	44	166	1392	1182	1392	NA	NA	NA	NA	NA
YEL050W-A	NA	63	Dubious	other	NA	NA	48	123	363	192	363	NA	NA	NA	NA	NA
YEL051W	VMA8	256	Verified	other	47	127	47	127	945	771	945	NA	NA	NA	NA	NA
YEL052W	AFG1	509	Verified	other	43	66	43	66	1639	1530	1639	NA	NA	NA	NA	NA
YEL053C	MAK10	733	Verified	other	68	83	68	83	2353	2202	2353	NA	NA	NA	NA	NA
YEL053W-A	NA	115	Dubious	other	NA	NA	48	123	519	348	519	NA	NA	NA	NA	NA
YEL054C	RPL12A	165	Verified	RP	35	127	35	127	660	498	660	NA	NA	NA	NA	NA
YEL055C	POL5	1022	Verified	other	55	72	55	72	3196	3069	3196	NA	NA	NA	NA	NA
YEL056W	HAT2	401	Verified	other	44	140	44	140	1390	1206	1390	NA	NA	NA	NA	NA
YEL057C	SDD1	233	Verified	other	97	106	97	106	905	702	905	NA	NA	NA	NA	NA
YEL058W	PCM1	557	Verified	other	31	148	31	148	1853	1674	1853	NA	NA	NA	NA	NA
YEL059C-A	SOM1	74	Verified	other	59	64	59	64	348	225	348	NA	NA	NA	NA	NA
YEL059W	HHY1	102	Uncharacterized	other	190	2201	190	2201	2700	309	2700	NA	NA	NA	NA	NA
YEL060C	PRB1	635	Verified	MSN2/4	55	228	55	228	2191	1908	2191	NA	NA	NA	NA	NA
YEL061C	CIN8	1000	Verified	other	123	125	123	125	3251	3003	3251	NA	NA	NA	NA	NA
YEL062W	NPR2	615	Verified	other	13	139	13	139	2000	1848	2000	NA	NA	NA	NA	NA
YEL063C	CAN1	590	Verified	other	231	291	231	291	2295	1773	2295	NA	NA	NA	NA	NA
YEL064C	AVT2	480	Verified	other	32	262	32	262	1737	1443	1737	NA	NA	NA	NA	NA
YEL065W	SIT1	628	Verified	other	47	80	47	80	2014	1887	2014	NA	NA	NA	NA	NA
YEL066W	HPA3	161	Verified	other	34	77	34	77	597	486	597	NA	NA	NA	NA	NA
YEL067C	NA	195	Uncharacterized	other	169	695	169	695	1452	588	1452	NA	NA	NA	NA	NA
YEL068C	NA	110	Uncharacterized	other	50	237	50	237	620	333	620	NA	NA	NA	NA	NA
YEL069C	HXT13	564	Verified	other	NA	NA	48	123	1866	1695	1866	NA	NA	NA	NA	NA
YEL070W	DSF1	502	Verified	other	63	132	63	132	1704	1509	1704	NA	NA	NA	NA	NA
YEL071W	DLD3	496	Verified	other	36	106	36	106	1633	1491	1633	NA	NA	NA	NA	NA
YEL072W	RMD6	231	Verified	other	130	258	130	258	1084	696	1084	NA	NA	NA	NA	NA
YEL073C	NA	107	Uncharacterized	other	21	704	21	704	1049	324	1049	NA	NA	NA	NA	NA
YEL074W	NA	112	Dubious	other	NA	NA	48	123	510	339	510	NA	NA	NA	NA	NA
YEL075C	NA	122	Uncharacterized	other	NA	NA	48	123	540	369	540	NA	NA	NA	NA	NA
YEL075W-A	NA	203	Dubious	other	NA	NA	48	123	783	612	783	NA	NA	NA	NA	NA
YEL076C	NA	216	Uncharacterized	other	NA	NA	48	123	822	651	822	NA	NA	NA	NA	NA
YEL076C-A	NA	216	Uncharacterized	other	NA	NA	48	123	822	930	1101	NA	NA	NA	NA	NA
YEL077C	NA	1277	Uncharacterized	other	NA	NA	48	123	4005	3834	4005	NA	NA	NA	NA	NA
YEL077W-A	NA	160	Dubious	other	NA	NA	48	123	654	483	654	NA	NA	NA	NA	NA
YER001W	MNN1	762	Verified	other	49	119	49	119	2457	2289	2457	NA	NA	NA	NA	NA
YER002W	NOP16	231	Verified	RiBi	49	94	49	94	839	696	839	NA	NA	NA	NA	NA
YER003C	PMI40	429	Verified	other	31	153	31	153	1474	1383	1567	NA	NA	NA	NA	NA
YER004W	FMP52	231	Verified	other	105	261	105	261	1062	696	1062	NA	NA	NA	NA	NA
YER005W	YND1	630	Verified	other	49	128	49	128	2070	1893	2070	NA	NA	NA	NA	NA
YER006C-A	NA	105	Dubious	other	NA	NA	48	123	489	318	489	NA	NA	NA	NA	NA
YER006W	NUG1	520	Verified	RiBi	39	89	39	89	1691	1563	1691	NA	NA	NA	NA	NA
YER007C-A	TMA20	181	Verified	RiBi	32	152	32	152	730	649	833	NA	NA	NA	NA	NA
YER007W	PAC2	518	Verified	other	21	95	21	95	1673	1557	1673	NA	NA	NA	NA	NA
YER008C	SEC3	1336	Verified	other	NA	NA	48	123	4182	4011	4182	NA	NA	NA	NA	NA
YER009W	NTF2	125	Verified	other	34	174	34	174	586	378	586	NA	NA	NA	NA	NA
YER010C	NA	234	Verified	other	29	101	29	101	835	705	835	NA	NA	NA	NA	NA
YER011W	TIR1	254	Verified	other	54	154	54	154	973	765	973	NA	NA	NA	NA	NA
YER012W	PRE1	198	Verified	other	61	138	61	138	796	597	796	NA	NA	NA	NA	NA
YER013W	PRP22	1145	Verified	other	NA	NA	48	123	3609	3438	3609	NA	NA	NA	NA	NA
YER014C-A	BUD25	153	Verified	other	NA	NA	48	123	633	970	1141	NA	NA	NA	NA	NA
YER014W	HEM14	539	Verified	other	45	97	45	97	1762	1620	1762	NA	NA	NA	NA	NA
YER015W	FAA2	744	Verified	other	31	250	31	250	2516	2235	2516	NA	NA	NA	NA	NA
YER016W	BIM1	344	Verified	other	20	126	20	126	1181	1035	1181	NA	NA	NA	NA	NA
YER017C	AFG3	761	Verified	other	81	163	81	163	2530	2286	2530	NA	NA	NA	NA	NA
YER018C	SPC25	221	Verified	other	52	104	52	104	822	666	822	NA	NA	NA	NA	NA
YER019C-A	SBH2	88	Verified	other	53	61	53	61	381	267	381	NA	NA	NA	NA	NA
YER019W	ISC1	477	Verified	other	328	81	328	81	1843	1434	1843	NA	NA	NA	NA	NA
YER020W	GPA2	449	Verified	other	63	192	63	192	1605	1350	1605	NA	NA	NA	NA	NA
YER021W	RPN3	523	Verified	other	31	126	31	126	1729	1572	1729	NA	NA	NA	NA	NA
YER022W	SRB4	687	Verified	other	21	99	21	99	2184	2064	2184	NA	NA	NA	NA	NA
YER023C-A	NA	70	Dubious	other	NA	NA	48	123	384	213	384	NA	NA	NA	NA	NA
YER023W	PRO3	286	Verified	other	34	87	34	87	982	861	982	NA	NA	NA	NA	NA
YER024W	YAT2	923	Verified	other	32	119	32	119	2923	2772	2923	NA	NA	NA	NA	NA
YER025W	GCD11	527	Verified	translation factors	45	263	45	263	1892	1584	1892	NA	NA	NA	NA	NA
YER026C	CHO1	276	Verified	other	31	123	31	123	985	831	985	NA	NA	NA	NA	NA
YER027C	GAL83	417	Verified	other	84	213	84	213	1551	1254	1551	NA	NA	NA	NA	NA
YER028C	MIG3	394	Verified	other	61	56	61	56	1302	1185	1302	NA	NA	NA	NA	NA
YER029C	SMB1	196	Verified	other	66	93	66	93	750	591	750	NA	NA	NA	NA	NA
YER030W	CHZ1	153	Verified	other	23	131	23	131	616	462	616	NA	NA	NA	NA	NA
YER031C	YPT31	223	Verified	other	32	165	32	165	869	672	869	NA	NA	NA	NA	NA
YER032W	FIR1	876	Verified	other	79	259	79	259	2969	2631	2969	NA	NA	NA	NA	NA
YER033C	ZRG8	1076	Verified	other	NA	NA	48	123	3402	3231	3402	NA	NA	NA	NA	NA
YER034W	NA	185	Verified	other	18	249	18	249	825	558	825	NA	NA	NA	NA	NA
YER035W	EDC2	145	Verified	MSN2/4	69	172	69	172	679	438	679	NA	NA	NA	NA	NA
YER036C	ARB1	610	Verified	RiBi	33	109	33	109	1975	1833	1975	NA	NA	NA	NA	NA
YER037W	PHM8	321	Verified	other	23	220	23	220	1209	966	1209	NA	NA	NA	NA	NA
YER038C	KRE29	464	Verified	other	10	748	10	748	2153	1395	2153	NA	NA	NA	NA	NA
YER038W-A	FMP49	126	Uncharacterized	other	72	633	72	633	1086	381	1086	NA	NA	NA	NA	NA
YER039C	HVG1	249	Verified	other	166	113	166	113	1029	750	1029	NA	NA	NA	NA	NA
YER039C-A	NA	72	Uncharacterized	other	26	464	26	464	709	219	709	NA	NA	NA	NA	NA
YER040W	GLN3	730	Verified	other	82	262	82	262	2537	2193	2537	NA	NA	NA	NA	NA
YER041W	YEN1	759	Verified	other	72	195	72	195	2547	2280	2547	NA	NA	NA	NA	NA
YER042W	MXR1	184	Verified	other	41	130	41	130	726	555	726	NA	NA	NA	NA	NA
YER043C	SAH1	449	Verified	other	34	227	34	227	1611	1350	1611	NA	NA	NA	NA	NA
YER044C	ERG28	148	Verified	other	62	125	62	125	634	447	634	NA	NA	NA	NA	NA
YER044C-A	MEI4	408	Verified	other	NA	NA	48	123	1398	1315	1486	NA	NA	NA	NA	NA
YER045C	ACA1	489	Verified	other	240	122	240	122	1832	1470	1832	NA	NA	NA	NA	NA
YER046W	SPO73	143	Verified	other	85	54	85	54	571	432	571	NA	NA	NA	NA	NA
YER046W-A	NA	109	Dubious	other	NA	NA	48	123	501	330	501	NA	NA	NA	NA	NA
YER047C	SAP1	897	Verified	other	NA	NA	48	123	2865	2694	2865	NA	NA	NA	NA	NA
YER048C	CAJ1	391	Verified	other	76	121	76	121	1373	1176	1373	NA	NA	NA	NA	NA
YER048W-A	ISD11	94	Verified	other	76	328	76	328	689	285	689	NA	NA	NA	NA	NA
YER049W	TPA1	644	Verified	other	66	92	66	92	2093	1935	2093	NA	NA	NA	NA	NA
YER050C	RSM18	138	Verified	other	57	124	57	124	598	417	598	NA	NA	NA	NA	NA
YER051W	JHD1	492	Verified	other	16	103	16	103	1598	1479	1598	NA	NA	NA	NA	NA
YER052C	HOM3	527	Verified	other	82	112	82	112	1778	1584	1778	NA	NA	NA	NA	NA
YER053C	PIC2	300	Verified	MSN2/4	98	143	98	143	1144	903	1144	NA	NA	NA	NA	NA
YER053C-A	NA	37	Verified	MSN2/4	50	369	50	369	533	114	533	NA	NA	NA	NA	NA
YER054C	GIP2	548	Verified	MSN2/4	549	182	549	182	2378	1647	2378	NA	NA	NA	NA	NA
YER055C	HIS1	297	Verified	other	62	83	62	83	1039	894	1039	NA	NA	NA	NA	NA
YER056C	FCY2	533	Verified	other	87	121	87	121	1810	1602	1810	NA	NA	NA	NA	NA
YER056C-A	RPL34A	121	Verified	RP	32	99	32	99	497	763	894	NA	NA	NA	NA	NA
YER057C	HMF1	129	Verified	other	43	101	43	101	534	390	534	NA	NA	NA	NA	NA
YER058W	PET117	107	Verified	MSN2/4	32	125	32	125	481	324	481	NA	NA	NA	NA	NA
YER059W	PCL6	420	Verified	other	182	96	182	96	1541	1263	1541	NA	NA	NA	NA	NA
YER060W	FCY21	528	Verified	other	129	130	129	130	1846	1587	1846	NA	NA	NA	NA	NA
YER060W-A	FCY22	530	Verified	other	NA	NA	48	123	1764	1593	1764	NA	NA	NA	NA	NA
