# Signal peptide identification by SignalP 4.1
# Transmembrane domain identification by TMHMM 2.0
orf	signal.peptide	transmembrane.domain
YOR072W	1	NA
YEL004W	1	6
YOR161C-C	NA	1
YNR060W	1	5
YML120C	NA	1
YHR126C	1	NA
YHR208W	1	NA
YEL063C	NA	10
YMR254C	1	1
YGR183C	1	1
YMR238W	1	1
YDL049C	1	NA
YOR301W	NA	3
YBL113W-A	NA	1
YDL001W	NA	1
YGR270C-A	NA	1
YOL013C	1	4
YHR054W-A	1	1
YPL218W	1	NA
YEL028W	1	1
YOR254C	1	3
YHL046C	1	NA
YOR089C	1	NA
YIL065C	NA	1
YAR047C	1	2
YOL031C	1	NA
YIR041W	1	NA
YOR336W	1	NA
YDR417C	1	3
YJR158W	NA	12
YGR012W	NA	1
YHR215W	1	NA
YHR069C-A	1	2
YIL155C	1	NA
YDR437W	1	2
Q0092	1	1
YBL059W	NA	2
YDL027C	NA	2
YER053C	NA	1
YNL305C	NA	7
YIL047C-A	1	NA
YMR101C	1	1
YML066C	1	4
YCR021C	1	7
YER100W	NA	1
YPR079W	1	2
YLR399W-A	1	NA
Q0143	1	NA
YOL166W-A	NA	1
Q0144	1	3
YHR048W	NA	12
YNL318C	NA	12
YGL020C	1	NA
YEL062W	1	NA
YPR064W	1	2
YIR016W	1	NA
YOR394W	NA	1
YDR387C	NA	12
YDR038C	NA	10
YKL145W-A	1	1
YPR160W-A	1	NA
YDL187C	1	NA
YGL034C	1	NA
YPR026W	1	1
YOR146W	1	1
YEL059W	1	2
YMR149W	1	2
YCR069W	1	NA
YKL223W	1	NA
YMR094W	1	NA
YGR146C-A	1	1
YKL027W	1	1
YIL046W-A	1	1
YJL064W	1	NA
YFL054C	NA	6
YER019C-A	NA	1
YBR126W-A	1	1
YJL073W	1	NA
YNL174W	1	4
YER165C-A	1	1
YLR163W-A	1	NA
YHL035C	NA	14
YNL121C	NA	1
YER084W	1	NA
YNR008W	NA	1
YLR092W	NA	8
YKL141W	NA	3
YDR072C	NA	8
YER044C	1	2
YJL102W	1	NA
YNL181W	NA	1
YDL245C	NA	12
YKL150W	1	1
YDR352W	1	5
YDR316W	NA	1
YMR123W	1	2
YML084W	1	2
YOR104W	1	1
YCR098C	NA	11
YPR113W	NA	3
YLR213C	1	NA
YJR150C	1	1
YMR304C-A	NA	2
YOL107W	NA	2
YIL040W	NA	2
YMR173W-A	1	10
YOR015W	NA	1
YHR003C	1	NA
YGL080W	NA	2
YIL177W-A	NA	2
YNL156C	NA	2
YBR219C	1	3
YGL140C	NA	11
YJL086C	NA	1
YML123C	NA	9
YKL147C	1	NA
YDL025W-A	1	NA
YNL029C	1	1
YGR175C	NA	2
YJR131W	1	1
YNL158W	1	2
YKL187C	1	4
YJL151C	1	2
YPR130C	1	1
YAL068C	1	NA
YDR367W	1	4
YJR126C	NA	1
YGR168C	NA	5
YGL204C	1	2
YHR045W	1	1
YIL088C	1	10
YOR271C	NA	4
YNR041C	1	5
YDR414C	1	3
YOL030W	1	NA
YFL055W	NA	12
YLL044W	1	NA
YML101C	1	1
YOL132W	1	1
YJL222W-B	1	NA
YOL023W	1	NA
YBL020W	1	12
YDL159C-B	1	1
YHL003C	NA	7
YER154W	1	1
YDR034C-A	1	1
YEL036C	1	1
YGR197C	NA	6
YAL042W	1	1
YLR304C	1	NA
YBR235W	NA	10
YIL162W	1	NA
YHR145C	1	1
YBL011W	NA	4
YNR025C	1	2
YIL039W	1	1
YER060W-A	NA	12
YOL077W-A	1	NA
YGR033C	NA	1
YAL022C	NA	11
YML130C	1	NA
YJL156W-A	NA	1
YPL029W	1	NA
YBR277C	1	NA
YNL291C	1	NA
YDR384C	NA	6
YLR400W	NA	1
YBR090C	1	1
YBR027C	1	2
YER137W-A	1	NA
YMR171C	1	1
YKL006C-A	NA	1
YDL046W	1	1
YDR503C	1	4
YKL224C	1	NA
YDR510C-A	1	1
YPL244C	1	8
YHR056W-A	1	2
YHR092C	NA	11
YJR001W	NA	10
YMR148W	1	2
YDL199C	NA	11
YER181C	1	2
YML047C	NA	3
YNL228W	1	4
YLR006C	1	NA
YKR102W	1	1
Q0085	NA	6
Q0080	1	1
YOR300W	1	NA
YBL108W	1	NA
YLR066W	1	1
YDR046C	NA	12
YDR033W	1	7
YGL245W	1	NA
YLR297W	NA	1
YGR079W	1	1
YOR329W-A	NA	1
YJL003W	NA	1
YCR064C	1	NA
YGL198W	NA	4
YLR279W	NA	1
YBL091C-A	NA	1
YLR093C	NA	1
YKR051W	1	7
YGR216C	NA	6
YPR112C	1	NA
YGL010W	1	4
YLL067W-A	NA	1
YAR020C	1	1
YGR279C	1	NA
YDR048C	1	1
YML067C	1	2
YOR192C	NA	10
YLR080W	1	2
YMR202W	1	1
YDL026W	NA	2
YFL060C	1	NA
YCL057W	1	NA
YLR413W	1	4
YBR005W	1	1
YDL120W	1	NA
YGR231C	NA	1
YAL016C-A	1	NA
YPR123C	NA	1
YDR326C	NA	1
YDR086C	NA	1
YMR006C	1	NA
YNL028W	1	1
YJL062W-A	1	1
YPL072W	1	1
YNL334C	1	NA
YGL191W	NA	1
YJL134W	NA	6
YDR340W	NA	1
YLR081W	NA	12
YJL150W	1	1
YNR013C	NA	12
YIR022W	1	NA
YJL172W	1	1
YAR002C-A	1	2
YLR173W	NA	1
YKR035C	1	NA
YKR042W	1	NA
YIL171W-A	1	3
YPL092W	1	9
YGR213C	1	7
YBL094C	NA	1
Q0250	1	2
YDL142C	NA	3
YMR019W	1	1
YNL019C	1	2
YJL129C	1	8
YDR203W	1	NA
YDR264C	NA	5
YKL039W	1	7
YKL064W	NA	2
YMR026C	NA	1
YDR343C	NA	11
YFL015C	1	2
YMR297W	1	NA
YLR250W	1	NA
YNR039C	NA	6
YIL165C	1	NA
YFR039C	1	NA
YFR042W	1	4
YOR036W	NA	1
YML131W	NA	2
YGR032W	NA	14
YGR125W	NA	10
YFL013W-A	1	NA
YLR329W	1	NA
YAL023C	NA	10
YCL045C	1	2
YJR127C	1	NA
YOL166C	NA	2
YBR076C-A	1	2
YKL044W	NA	2
YLR390W	1	1
YKL073W	1	1
YHR151C	1	1
YHR002W	NA	1
YNR062C	1	8
YAL018C	NA	5
YDR221W	1	NA
YGL143C	1	NA
YLR001C	1	1
YAL059C-A	NA	2
YOL075C	NA	13
YBR294W	NA	9
YPR197C	1	NA
YOR214C	1	NA
YDL067C	1	1
YMR230W-A	1	NA
YOL020W	NA	12
YBR086C	NA	8
YDR135C	NA	14
YBL030C	NA	3
YMR256C	1	1
YOR376W-A	1	NA
YBL039C-A	1	1
YOL011W	1	NA
YPL261C	1	NA
YGR174C	NA	1
YGL194C-A	1	1
YOR381W	1	7
YLR065C	NA	4
YOL124C	1	NA
YOL153C	1	NA
YEL053W-A	1	3
YIL067C	NA	8
YHR021W-A	1	2
YOR270C	NA	7
YOL068C	1	NA
YHL044W	1	2
YBR201W	1	4
YLL043W	NA	5
YDR415C	1	NA
YGL161C	NA	4
YBR301W	1	NA
YIL020C-A	1	2
YGR049W	1	4
YGL074C	NA	1
YOR293C-A	1	NA
YNL263C	NA	5
YML100W	1	NA
YPL205C	1	1
YMR274C	1	7
YKL162C-A	1	NA
YMR103C	1	1
YKR016W	1	1
YNL194C	1	4
YCR023C	NA	10
YDR519W	1	NA
YBL057C	1	1
YLR034C	1	10
YLR083C	1	10
YEL064C	NA	11
YDR270W	NA	8
YLR152C	1	9
YBR004C	1	8
YDL121C	1	1
YDL180W	1	7
Q0182	NA	2
YMR172W	1	1
YNL214W	NA	1
YCR034W	NA	7
YER060W	NA	10
YOR161C	NA	10
YDL133W	NA	4
YMR182W-A	1	1
YCR043C	NA	1
YDR504C	1	2
YPL227C	1	1
YDL010W	1	1
YML019W	1	4
YOR245C	NA	1
YHR180W-A	NA	1
YLR072W	NA	1
YKL225W	NA	1
YHL002C-A	1	1
YJL175W	1	3
YBL095W	1	NA
YER053C-A	1	1
YCL021W-A	NA	1
YGL197W	1	NA
YER147C-A	1	1
YDL218W	1	4
YDR327W	1	NA
YPR157W	1	NA
YLR286C	1	NA
YJL208C	1	1
YJL075C	1	NA
YMR110C	NA	1
YCL041C	1	3
YMR325W	1	NA
YJL002C	1	1
YNL159C	NA	2
YDL118W	NA	1
YPR159W	NA	1
YIR036W-A	NA	1
YKR050W	NA	10
YHR059W	1	NA
YPR075C	NA	1
YBR013C	1	NA
YPL011C	1	NA
YDR241W	NA	2
YNL038W	NA	2
YAL053W	1	9
YNL149C	NA	1
YHR001W-A	NA	1
YIL139C	1	NA
YLR246W	NA	4
YDR329C	1	1
YGL082W	1	NA
YLR311C	1	2
YPR098C	1	3
YNR065C	NA	1
YAL066W	NA	2
YGL142C	1	9
YMR052C-A	1	3
YJR151C	1	1
YHR150W	NA	2
YKL065C	1	3
YIL173W	1	1
YBR139W	1	NA
YER038W-A	1	1
YHR188C	1	1
YDL172C	NA	2
YPL189C-A	1	1
YER087C-B	NA	1
YBR171W	NA	1
YJL052C-A	1	NA
YNR005C	NA	1
YOR059C	NA	1
YIL060W	1	NA
YOR273C	NA	11
YIL028W	1	NA
YAR028W	NA	2
YGL077C	NA	12
YDL193W	NA	1
YGR045C	NA	3
YGL160W	1	7
YAL034C-B	1	NA
YOL134C	1	NA
YBR302C	NA	4
YGR026W	1	4
YML125C	1	2
YLR251W	1	NA
YNL284C	1	NA
YFR041C	1	2
YOL092W	NA	7
YKL100C	NA	7
YDR182W-A	NA	1
YLR302C	NA	1
YDR402C	1	1
YHR147C	1	NA
YPR159C-A	1	1
YJL093C	NA	10
YDR003W	1	1
YBL017C	1	1
YOR348C	NA	11
YER039C-A	NA	2
YLR458W	1	2
YGL055W	NA	4
YBR092C	1	NA
YNL095C	1	9
YBL040C	NA	4
YDR382W	1	NA
YDR483W	1	NA
YOR219C	NA	1
YER061C	1	NA
YAL047W-A	NA	1
YGR242W	NA	1
YPL246C	1	5
YOR246C	NA	1
YKL207W	1	3
YML018C	1	8
YGR293C	1	1
YEL001C	1	1
YLR160C	1	NA
YDL011C	1	1
YDL066W	1	NA
YMR319C	NA	7
YBR295W	NA	7
YBR085W	NA	4
YNL270C	NA	12
YIL011W	1	NA
YMR054W	NA	7
YDR134C	1	NA
YKR100C	NA	1
YPL147W	NA	3
YGR004W	NA	4
YOR082C	1	3
YAR075W	1	NA
YLR064W	NA	5
YHL016C	1	15
YOR228C	NA	5
YLL055W	NA	10
YER072W	NA	3
YMR272W-B	1	NA
YLR091W	1	NA
YNL339C	1	NA
YIL068W-A	1	NA
YKR053C	NA	5
YJL034W	1	1
YFL048C	1	1
YBR014C	1	1
YML052W	1	4
YMR089C	1	NA
YHR187W	1	NA
YOR286W	1	NA
YBL089W	1	9
YDR119W	NA	14
YLL037W	1	1
YLR411W	NA	3
YER005W	NA	1
YKL169C	1	NA
YIL105W-A	1	NA
YIL102C-A	1	2
YOR192C-C	1	NA
YKL165C	1	14
YMR200W	1	1
YDR518W	1	NA
YAL031W-A	1	1
YLR035C	1	NA
YOR154W	1	2
YDL122W	NA	1
YMR264W	1	NA
YPR121W	1	NA
YBR070C	1	1
YLL017W	1	NA
YGR226C	NA	1
YEL065W	NA	14
YOR034C-A	1	1
YLR385C	1	NA
YCR045W-A	1	NA
YIL170W	1	10
YMR008C	1	NA
YMR119W-A	1	2
YJR010W	1	NA
YLR322W	1	1
YCR097W-A	1	2
YKL053W	1	3
YLR402W	1	1
YDR093W	NA	9
YLR361C	1	1
YNL115C	NA	5
YNL071W	1	NA
YKR040C	1	4
YGL138C	1	NA
YJL174W	1	1
YPL060W	NA	2
YLR295C	1	NA
YDR344C	1	NA
YIR043C	NA	1
YIR020C	1	1
YJL118W	1	NA
YPL189W	1	10
YPR156C	NA	12
YKL124W	1	1
YDR304C	1	NA
YIL066W-A	NA	1
YNL337W	1	NA
YPR136C	1	NA
YCR024C-B	1	2
YLR207W	1	1
YLR138W	NA	9
YIL027C	1	2
YDR199W	1	NA
YHR219C-A	NA	1
YLR459W	1	8
YJR143C	NA	11
YNR026C	NA	1
YIL089W	NA	2
YNL336W	NA	4
YGR147C	1	1
YOR034C	NA	7
YDR039C	NA	10
YGR149W	NA	7
YJL205C	1	1
YJR118C	1	3
YLR269C	1	1
YOR016C	1	1
YDL217C	NA	2
YIL047C	NA	5
YPR099C	1	NA
YGR101W	NA	6
YDL237W	1	1
YJR085C	NA	3
YHL026C	1	3
YKL209C	1	10
YFL011W	NA	11
YER113C	1	10
YEL033W	NA	2
YBR292C	1	2
YDR508C	NA	10
YEL077W-A	NA	2
YHL017W	1	7
YOR383C	1	NA
YJR010C-A	1	2
YIL085C	1	1
YPR028W	NA	2
YHL048W	1	3
YNL294C	NA	6
YLR332W	1	1
YDR011W	NA	12
YHR071C-A	NA	1
YDR182W	NA	3
YJL059W	1	11
YOL035C	1	2
YFR006W	1	1
YCL022C	NA	2
YHL031C	NA	1
YLR444C	NA	2
YAL064W-B	NA	3
YHR026W	1	5
YDR413C	1	3
YER078W-A	1	NA
YNL238W	1	1
YJL198W	NA	12
YPL207W	1	1
YIL029C	1	2
YLL041C	1	NA
YDR491C	1	1
YER026C	NA	2
YER182W	NA	1
YMR251W-A	1	NA
YLR036C	NA	3
YDL123W	1	2
YDL054C	1	11
YPL238C	1	3
YBR121C-A	1	NA
YBR180W	NA	12
YGR221C	NA	1
YDL072C	1	3
YMR189W	1	NA
YBR093C	1	NA
YJL196C	NA	5
YDR526C	1	3
YGL054C	1	3
YGL041C-B	1	1
YML007C-A	1	NA
YOR247W	1	NA
YEL006W	NA	3
YOR218C	1	1
YDR506C	1	1
YGL038C	1	1
YCR041W	1	3
YOR390W	NA	9
YML047W-A	1	3
YKL096C-B	NA	1
YPL270W	NA	3
YGR069W	1	1
YOL013W-B	1	2
YMR065W	1	NA
YLR299W	1	1
YDR345C	NA	11
YAL055W	NA	1
YGL002W	1	2
YGL139W	1	10
YJL117W	NA	2
YEL009C-A	1	1
YNL054W	NA	1
YPR155C	NA	1
YOR137C	1	NA
YDR250C	1	1
YCR087W	1	3
YDR205W	1	13
YJL108C	NA	10
YPR139C	1	1
YML009W-B	1	NA
YML009C-A	1	1
YDR056C	1	NA
YOR139C	1	NA
YNL185C	1	NA
YCL043C	1	NA
YGR269W	1	NA
YFR036W-A	1	1
YCR089W	1	NA
YDL152W	NA	1
YPR117W	1	2
YER019W	NA	2
YBR015C	1	1
YML055W	NA	2
YPR077C	1	1
YIR028W	NA	11
